WT 0.1M sucrose	
457.5	1.229
458	1.224
458.5	1.219
459	1.217
459.5	1.217
460	1.215
460.5	1.216
461	1.216
461.5	1.215
462	1.217
462.5	1.219
463	1.223
463.5	1.225
464	1.225
464.5	1.224
465	1.222
465.5	1.219
466	1.213
466.5	1.206
467	1.204
467.5	1.204
468	1.204
468.5	1.2
469	1.199
469.5	1.201
470	1.202
470.5	1.201
471	1.2
471.5	1.201
472	1.196
472.5	1.196
473	1.194
473.5	1.191
474	1.19
474.5	1.192
475	1.19
475.5	1.188
476	1.187
476.5	1.187
477	1.184
477.5	1.183
478	1.182
478.5	1.18
479	1.179
479.5	1.18
480	1.177
480.5	1.173
481	1.174
481.5	1.175
482	1.175
482.5	1.175
483	1.175
483.5	1.176
484	1.176
484.5	1.176
485	1.175
485.5	1.171
486	1.171
486.5	1.171
487	1.169
487.5	1.167
488	1.17
488.5	1.17
489	1.169
489.5	1.171
490	1.172
490.5	1.17
491	1.169
491.5	1.167
492	1.162
492.5	1.161
493	1.161
493.5	1.16
494	1.16
494.5	1.162
495	1.164
495.5	1.164
496	1.165
496.5	1.159
497	1.157
497.5	1.157
498	1.155
498.5	1.155
499	1.154
499.5	1.154
500	1.154
500.5	1.157
501	1.158
501.5	1.158
502	1.16
502.5	1.16
503	1.16
503.5	1.156
504	1.154
504.5	1.148
505	1.145
505.5	1.14
506	1.141
506.5	1.139
507	1.139
507.5	1.136
508	1.134
508.5	1.129
509	1.131
509.5	1.128
510	1.128
510.5	1.128
511	1.133
511.5	1.136
512	1.139
512.5	1.139
513	1.135
513.5	1.127
514	1.122
514.5	1.116
515	1.115
515.5	1.117
516	1.116
516.5	1.118
517	1.12
517.5	1.124
518	1.121
518.5	1.116
519	1.115
519.5	1.11
520	1.11
520.5	1.112
521	1.109
521.5	1.106
522	1.107
522.5	1.111
523	1.112
523.5	1.109
524	1.111
524.5	1.11
525	1.11
525.5	1.11
526	1.107
526.5	1.104
527	1.103
527.5	1.099
528	1.095
528.5	1.09
529	1.088
529.5	1.089
530	1.088
530.5	1.09
531	1.095
531.5	1.095
532	1.092
532.5	1.09
533	1.088
533.5	1.082
534	1.078
534.5	1.075
535	1.074
535.5	1.075
536	1.077
536.5	1.076
537	1.078
537.5	1.079
538	1.081
538.5	1.076
539	1.076
539.5	1.075
540	1.072
540.5	1.07
541	1.068
541.5	1.067
542	1.066
542.5	1.067
543	1.067
543.5	1.064
544	1.064
544.5	1.063
545	1.063
545.5	1.062
546	1.063
546.5	1.061
547	1.056
547.5	1.053
548	1.051
548.5	1.044
549	1.04
549.5	1.038
550	1.039
550.5	1.039
551	1.047
551.5	1.046
552	1.043
552.5	1.04
553	1.037
553.5	1.032
554	1.029
554.5	1.029
555	1.031
555.5	1.031
556	1.032
556.5	1.029
557	1.025
557.5	1.023
558	1.023
558.5	1.023
559	1.026
559.5	1.028
560	1.03
560.5	1.028
561	1.026
561.5	1.022
562	1.022
562.5	1.022
563	1.025
563.5	1.024
564	1.025
564.5	1.024
565	1.023
565.5	1.021
566	1.021
566.5	1.02
567	1.022
567.5	1.019
568	1.014
568.5	1.015
569	1.015
569.5	1.012
570	1.006
570.5	1
571	0.996
571.5	1
572	1.003
572.5	1.004
573	1.008
573.5	1.014
574	1.016
574.5	1.015
575	1.011
575.5	1.007
576	1.002
576.5	1.004
577	1.008
577.5	1.009
578	1.008
578.5	1.008
579	1.002
579.5	1.003
580	1.004
580.5	1.007
581	1.007
581.5	1.008
582	1.012
582.5	1.011
583	1.008
583.5	1.006
584	1.003
584.5	1.003
585	1.002
585.5	0.997
586	0.994
586.5	0.99
587	0.988
587.5	0.99
588	0.99
588.5	0.994
589	0.994
589.5	0.994
590	0.994
590.5	0.991
591	0.993
591.5	0.992
592	0.991
592.5	0.994
593	0.993
593.5	0.992
594	0.986
594.5	0.983
595	0.987
595.5	0.99
596	0.993
596.5	0.993
597	0.994
597.5	0.995
598	0.995
598.5	0.992
599	0.99
599.5	0.99
600	0.992
600.5	0.99
601	0.989
601.5	0.988
602	0.994
602.5	0.994
603	0.99
603.5	0.983
604	0.982
604.5	0.984
605	0.983
605.5	0.981
606	0.985
606.5	0.987
607	0.997
607.5	0.996
608	0.992
608.5	0.988
609	0.988
609.5	0.99
610	0.993
610.5	0.997
611	1
611.5	1.002
612	1.004
612.5	1.005
613	1.005
613.5	1.004
614	1.003
614.5	1.006
615	1.011
615.5	1.014
616	1.018
616.5	1.022
617	1.022
617.5	1.018
618	1.012
618.5	1.004
619	0.996
619.5	0.992
620	0.988
620.5	0.985
621	0.989
621.5	0.996
622	1.001
622.5	1.003
623	1
623.5	1.003
624	1.002
624.5	1.001
625	1.002
625.5	1.004
626	1.006
626.5	1.013
627	1.016
627.5	1.018
628	1.016
628.5	1.014
629	1.016
629.5	1.016
630	1.017
630.5	1.021
631	1.016
631.5	1.018
632	1.021
632.5	1.025
633	1.019
633.5	1.016
634	1.013
634.5	1.014
635	1.011
635.5	1.007
636	0.999
636.5	1.001
637	0.999
637.5	0.999
638	0.998
638.5	1.002
639	1.003
639.5	1.007
640	1.009
640.5	1.001
641	0.997
641.5	0.996
642	0.996
642.5	0.994
643	1.001
643.5	1.005
644	1.005
644.5	1.008
645	1.009
645.5	1.003
646	0.996
646.5	0.991
647	0.988
647.5	0.987
648	0.991
648.5	0.993
649	0.997
649.5	0.999
650	1.001
650.5	0.998
651	0.988
651.5	0.981
652	0.975
652.5	0.972
653	0.969
653.5	0.973
654	0.975
654.5	0.973
655	0.97
655.5	0.974
656	0.975
656.5	0.971
657	0.974
657.5	0.975
658	0.972
658.5	0.97
659	0.971
659.5	0.971
660	0.969
660.5	0.974
661	0.978
661.5	0.977
662	0.977
662.5	0.98
663	0.976
663.5	0.97
664	0.97
664.5	0.97
665	0.977
665.5	0.983
666	0.99
666.5	0.995
667	0.997
667.5	1.001
668	1
668.5	0.994
669	0.993
669.5	0.993
670	0.991
670.5	0.993
671	0.992
671.5	0.992
672	0.994
672.5	0.994
673	0.998
673.5	0.996
674	0.995
674.5	1
675	1.001
675.5	1.001
676	0.997
676.5	1.005
677	1.008
677.5	1.014
678	1.019
678.5	1.017
679	1.023
679.5	1.032
680	1.035
680.5	1.039
681	1.037
681.5	1.046
682	1.047
682.5	1.051
683	1.048
683.5	1.046
684	1.044
684.5	1.04
685	1.036
685.5	1.038
686	1.036
686.5	1.034
687	1.029
687.5	1.033
688	1.035
688.5	1.035
689	1.033
689.5	1.033
690	1.034
690.5	1.032
691	1.029
691.5	1.017
692	1.01
692.5	1.009
693	1.008
693.5	1.006
694	1.003
694.5	1.005
695	1.003
695.5	1.002
696	0.995
696.5	0.991
697	0.989
697.5	0.99
698	0.989
698.5	0.991
699	0.99
699.5	0.986
700	0.97
700.5	0.965
701	0.961
701.5	0.957
702	0.951
702.5	0.952
703	0.951
703.5	0.957
704	0.962
704.5	0.961
705	0.954
705.5	0.954
706	0.952
706.5	0.944
707	0.933
707.5	0.924
708	0.91
708.5	0.905
709	0.9
709.5	0.907
710	0.914
710.5	0.92
711	0.92
711.5	0.926
712	0.928
712.5	0.918
713	0.913
713.5	0.907
714	0.902
714.5	0.904
715	0.901
715.5	0.896
716	0.889
716.5	0.893
717	0.892
717.5	0.889
718	0.896
718.5	0.904
719	0.911
719.5	0.917
720	0.921
720.5	0.919
721	0.913
721.5	0.913
722	0.909
722.5	0.902
723	0.904
723.5	0.902
724	0.901
724.5	0.901
725	0.895
725.5	0.883
726	0.879
726.5	0.875
727	0.873
727.5	0.87
728	0.872
728.5	0.871
729	0.878
729.5	0.884
730	0.881
730.5	0.873
731	0.87
731.5	0.866
732	0.865
732.5	0.859
733	0.854
733.5	0.856
734	0.859
734.5	0.866
735	0.865
735.5	0.86
736	0.859
736.5	0.858
737	0.858
737.5	0.85
738	0.851
738.5	0.858
739	0.863
739.5	0.869
740	0.873
740.5	0.877
741	0.877
741.5	0.871
742	0.861
742.5	0.855
743	0.856
743.5	0.851
744	0.838
744.5	0.833
745	0.833
745.5	0.843
746	0.849
746.5	0.86
747	0.863
747.5	0.868
748	0.871
748.5	0.86
749	0.845
749.5	0.837
750	0.831
750.5	0.828
751	0.827
751.5	0.832
752	0.833
752.5	0.835
753	0.834
753.5	0.831
754	0.832
754.5	0.826
755	0.823
755.5	0.817
756	0.82
756.5	0.829
757	0.832
757.5	0.838
758	0.84
758.5	0.843
759	0.841
759.5	0.83
760	0.828
760.5	0.826
761	0.827
761.5	0.833
762	0.832
762.5	0.834
763	0.833
763.5	0.835
764	0.831
764.5	0.827
765	0.83
765.5	0.834
766	0.837
766.5	0.837
767	0.828
767.5	0.812
768	0.805
768.5	0.805
769	0.802
769.5	0.8
770	0.801
770.5	0.811
771	0.817
771.5	0.813
772	0.813
772.5	0.813
773	0.826
773.5	0.839
774	0.846
774.5	0.842
775	0.842
775.5	0.845
776	0.841
776.5	0.826
777	0.826
777.5	0.825
778	0.828
778.5	0.827
779	0.823
779.5	0.82
780	0.821
780.5	0.82
781	0.817
781.5	0.812
782	0.809
782.5	0.806
783	0.81
783.5	0.798
784	0.793
784.5	0.795
785	0.792
785.5	0.792
786	0.792
786.5	0.795
787	0.794
787.5	0.797
788	0.802
788.5	0.791
789	0.789
789.5	0.786
790	0.782
790.5	0.778
791	0.772
791.5	0.772
792	0.773
792.5	0.782
793	0.79
793.5	0.789
794	0.787
794.5	0.789
795	0.79
795.5	0.789
796	0.785
796.5	0.776
797	0.775
797.5	0.781
798	0.782
798.5	0.774
799	0.767
799.5	0.769
800	0.77
800.5	0.776
801	0.777
801.5	0.787
802	0.8
802.5	0.81
803	0.813
803.5	0.803
804	0.791
804.5	0.783
805	0.777
805.5	0.774
806	0.774
806.5	0.785
807	0.793
807.5	0.798
808	0.787
808.5	0.769
809	0.76
809.5	0.752
810	0.753
810.5	0.752
811	0.751
811.5	0.756
812	0.76
812.5	0.764
813	0.766
813.5	0.765
814	0.758
814.5	0.759
815	0.761
815.5	0.768
816	0.766
816.5	0.767
817	0.759
817.5	0.76
818	0.763
818.5	0.753
819	0.739
819.5	0.741
820	0.745
820.5	0.752
821	0.748
821.5	0.753
822	0.755
822.5	0.764
823	0.77
823.5	0.782
824	0.795
824.5	0.797
825	0.795
825.5	0.785
826	0.77
826.5	0.763
827	0.754
827.5	0.746
828	0.74
828.5	0.748
829	0.751
829.5	0.749
830	0.745
830.5	0.745
831	0.745
831.5	0.745
832	0.739
832.5	0.745
833	0.74
833.5	0.736
834	0.732
834.5	0.727
835	0.714
835.5	0.715
836	0.714
836.5	0.72
837	0.728
837.5	0.747
838	0.753
838.5	0.76
839	0.76
839.5	0.757
840	0.748
840.5	0.738
841	0.724
841.5	0.722
842	0.719
842.5	0.72
843	0.727
843.5	0.731
844	0.727
844.5	0.722
845	0.721
845.5	0.71
846	0.713
846.5	0.719
847	0.72
847.5	0.723
848	0.73
848.5	0.728
849	0.718
849.5	0.715
850	0.701
	
	
WT 2:1 sucrose:trehalose 	
4/4/2023 5:41 PM	
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20333
//WLCalib: 261S 	-0.45
//WLCalib: 362S 	-0.7
//WLCalib: 484S 	-0.73
//WLCalib: 529S 	-0.44
//WLCalib: 823S 	-0.81
//QSpecEnd: 	
190	9.938
190.5	10.171
191	10.371
191.5	10.516
192	10.662
192.5	10.898
193	11.159
193.5	11.436
194	11.538
194.5	11.739
195	11.749
195.5	11.774
196	11.815
196.5	11.807
197	11.834
197.5	11.881
198	11.98
198.5	11.956
199	11.914
199.5	11.862
200	11.882
200.5	12.017
201	12.163
201.5	12.311
202	12.529
202.5	12.728
203	12.889
203.5	12.843
204	12.808
204.5	12.789
205	12.777
205.5	12.736
206	12.681
206.5	12.606
207	12.557
207.5	12.471
208	12.36
208.5	12.291
209	12.188
209.5	12.09
210	11.97
210.5	11.854
211	11.715
211.5	11.484
212	11.21
212.5	11.005
213	10.725
213.5	10.488
214	10.147
214.5	9.863
215	9.576
215.5	9.299
216	9.034
216.5	8.758
217	8.51
217.5	8.257
218	7.959
218.5	7.7
219	7.402
219.5	7.127
220	6.85
220.5	6.592
221	6.359
221.5	6.13
222	5.896
222.5	5.675
223	5.446
223.5	5.242
224	5.047
224.5	4.848
225	4.651
225.5	4.459
226	4.268
226.5	4.085
227	3.911
227.5	3.757
228	3.609
228.5	3.494
229	3.396
229.5	3.306
230	3.228
230.5	3.151
231	3.073
231.5	2.987
232	2.898
232.5	2.817
233	2.732
233.5	2.657
234	2.589
234.5	2.525
235	2.478
235.5	2.431
236	2.387
236.5	2.345
237	2.309
237.5	2.281
238	2.251
238.5	2.222
239	2.199
239.5	2.172
240	2.156
240.5	2.134
241	2.112
241.5	2.096
242	2.085
242.5	2.077
243	2.064
243.5	2.049
244	2.041
244.5	2.03
245	2.024
245.5	2.017
246	2.014
246.5	2.015
247	2.017
247.5	2.02
248	2.017
248.5	2.011
249	2.01
249.5	2.011
250	2.01
250.5	2.008
251	2.006
251.5	2.004
252	2.007
252.5	2.006
253	2.006
253.5	2.003
254	2.002
254.5	2.002
255	1.999
255.5	1.998
256	1.997
256.5	2.001
257	2
257.5	1.999
258	1.999
258.5	1.996
259	1.995
259.5	1.991
260	1.991
260.5	1.991
261	1.992
261.5	1.997
262	1.992
262.5	1.996
263	1.994
263.5	1.995
264	1.991
264.5	1.989
265	1.989
265.5	1.988
266	1.987
266.5	1.988
267	1.989
267.5	1.995
268	1.997
268.5	2.001
269	2
269.5	2.001
270	1.998
270.5	1.993
271	1.99
271.5	1.985
272	1.984
272.5	1.981
273	1.983
273.5	1.984
274	1.981
274.5	1.981
275	1.98
275.5	1.979
276	1.984
276.5	1.977
277	1.975
277.5	1.972
278	1.972
278.5	1.97
279	1.969
279.5	1.967
280	1.965
280.5	1.966
281	1.967
281.5	1.962
282	1.959
282.5	1.955
283	1.953
283.5	1.951
284	1.949
284.5	1.943
285	1.941
285.5	1.941
286	1.936
286.5	1.927
287	1.921
287.5	1.915
288	1.915
288.5	1.915
289	1.917
289.5	1.919
290	1.924
290.5	1.926
291	1.922
291.5	1.915
292	1.909
292.5	1.902
293	1.898
293.5	1.893
294	1.89
294.5	1.889
295	1.888
295.5	1.884
296	1.878
296.5	1.874
297	1.872
297.5	1.872
298	1.871
298.5	1.869
299	1.868
299.5	1.866
300	1.863
300.5	1.859
301	1.856
301.5	1.853
302	1.854
302.5	1.852
303	1.854
303.5	1.854
304	1.852
304.5	1.852
305	1.852
305.5	1.847
306	1.843
306.5	1.835
307	1.833
307.5	1.832
308	1.831
308.5	1.83
309	1.827
309.5	1.827
310	1.823
310.5	1.82
311	1.816
311.5	1.811
312	1.806
312.5	1.803
313	1.801
313.5	1.803
314	1.803
314.5	1.804
315	1.807
315.5	1.81
316	1.809
316.5	1.808
317	1.804
317.5	1.8
318	1.795
318.5	1.791
319	1.794
319.5	1.795
320	1.796
320.5	1.795
321	1.794
321.5	1.794
322	1.794
322.5	1.788
323	1.78
323.5	1.776
324	1.778
324.5	1.775
325	1.77
325.5	1.769
326	1.771
326.5	1.772
327	1.774
327.5	1.773
328	1.776
328.5	1.782
329	1.783
329.5	1.781
330	1.773
330.5	1.77
331	1.764
331.5	1.761
332	1.76
332.5	1.758
333	1.76
333.5	1.763
334	1.761
334.5	1.757
335	1.755
335.5	1.755
336	1.757
336.5	1.761
337	1.763
337.5	1.763
338	1.763
338.5	1.764
339	1.765
339.5	1.76
340	1.759
340.5	1.756
341	1.754
341.5	1.752
342	1.748
342.5	1.748
343	1.746
343.5	1.744
344	1.745
344.5	1.746
345	1.746
345.5	1.744
346	1.747
346.5	1.75
347	1.751
347.5	1.747
348	1.743
348.5	1.741
349	1.741
349.5	1.735
350	1.729
350.5	1.725
351	1.724
351.5	1.721
352	1.718
352.5	1.715
353	1.721
353.5	1.727
354	1.731
354.5	1.728
355	1.728
355.5	1.724
356	1.719
356.5	1.712
357	1.709
357.5	1.705
358	1.706
358.5	1.71
359	1.711
359.5	1.712
360	1.711
360.5	1.707
361	1.704
361.5	1.7
362	1.703
362.5	1.704
363	1.706
363.5	1.708
364	1.705
364.5	1.706
365	1.7
365.5	1.698
366	1.693
366.5	1.688
367	1.691
367.5	1.688
368	1.685
368.5	1.682
369	1.682
369.5	1.681
370	1.681
370.5	1.686
371	1.689
371.5	1.692
372	1.694
372.5	1.689
373	1.683
373.5	1.682
374	1.68
374.5	1.679
375	1.68
375.5	1.682
376	1.688
376.5	1.691
377	1.693
377.5	1.69
378	1.687
378.5	1.688
379	1.685
379.5	1.685
380	1.682
380.5	1.682
381	1.685
381.5	1.684
382	1.681
382.5	1.681
383	1.682
383.5	1.679
384	1.678
384.5	1.675
385	1.67
385.5	1.671
386	1.675
386.5	1.676
387	1.674
387.5	1.677
388	1.677
388.5	1.677
389	1.679
389.5	1.679
390	1.681
390.5	1.683
391	1.682
391.5	1.679
392	1.678
392.5	1.676
393	1.676
393.5	1.677
394	1.678
394.5	1.68
395	1.678
395.5	1.674
396	1.669
396.5	1.666
397	1.667
397.5	1.666
398	1.667
398.5	1.667
399	1.668
399.5	1.668
400	1.668
400.5	1.667
401	1.667
401.5	1.666
402	1.665
402.5	1.662
403	1.661
403.5	1.657
404	1.656
404.5	1.655
405	1.657
405.5	1.655
406	1.656
406.5	1.658
407	1.658
407.5	1.658
408	1.657
408.5	1.659
409	1.66
409.5	1.66
410	1.658
410.5	1.658
411	1.664
411.5	1.667
412	1.667
412.5	1.67
413	1.671
413.5	1.675
414	1.673
414.5	1.67
415	1.67
415.5	1.675
416	1.681
416.5	1.683
417	1.682
417.5	1.682
418	1.683
418.5	1.683
419	1.681
419.5	1.679
420	1.679
420.5	1.677
421	1.679
421.5	1.68
422	1.677
422.5	1.678
423	1.68
423.5	1.682
424	1.685
424.5	1.688
425	1.688
425.5	1.687
426	1.688
426.5	1.688
427	1.684
427.5	1.684
428	1.681
428.5	1.682
429	1.686
429.5	1.69
430	1.692
430.5	1.693
431	1.697
431.5	1.7
432	1.701
432.5	1.703
433	1.704
433.5	1.708
434	1.71
434.5	1.709
435	1.707
435.5	1.706
436	1.706
436.5	1.703
437	1.701
437.5	1.704
438	1.705
438.5	1.707
439	1.71
439.5	1.714
440	1.718
440.5	1.723
441	1.725
441.5	1.727
442	1.728
442.5	1.731
443	1.734
443.5	1.733
444	1.733
444.5	1.733
445	1.734
445.5	1.735
446	1.733
446.5	1.729
447	1.726
447.5	1.72
448	1.719
448.5	1.715
449	1.715
449.5	1.716
450	1.716
450.5	1.716
451	1.717
451.5	1.713
452	1.712
452.5	1.709
453	1.708
453.5	1.708
454	1.707
454.5	1.706
455	1.703
455.5	1.699
456	1.695
456.5	1.694
457	1.691
457.5	1.688
458	1.681
458.5	1.677
459	1.674
459.5	1.672
460	1.667
460.5	1.668
461	1.669
461.5	1.669
462	1.673
462.5	1.673
463	1.672
463.5	1.668
464	1.665
464.5	1.664
465	1.662
465.5	1.663
466	1.663
466.5	1.66
467	1.661
467.5	1.663
468	1.661
468.5	1.654
469	1.651
469.5	1.649
470	1.649
470.5	1.65
471	1.651
471.5	1.65
472	1.648
472.5	1.649
473	1.645
473.5	1.641
474	1.641
474.5	1.641
475	1.642
475.5	1.64
476	1.638
476.5	1.633
477	1.627
477.5	1.625
478	1.621
478.5	1.62
479	1.62
479.5	1.624
480	1.624
480.5	1.621
481	1.623
481.5	1.624
482	1.622
482.5	1.621
483	1.621
483.5	1.621
484	1.622
484.5	1.623
485	1.622
485.5	1.619
486	1.622
486.5	1.625
487	1.626
487.5	1.627
488	1.631
488.5	1.629
489	1.628
489.5	1.625
490	1.621
490.5	1.614
491	1.61
491.5	1.608
492	1.605
492.5	1.605
493	1.608
493.5	1.608
494	1.61
494.5	1.612
495	1.613
495.5	1.612
496	1.614
496.5	1.612
497	1.61
497.5	1.609
498	1.612
498.5	1.612
499	1.614
499.5	1.61
500	1.606
500.5	1.604
501	1.601
501.5	1.597
502	1.594
502.5	1.593
503	1.595
503.5	1.593
504	1.592
504.5	1.589
505	1.586
505.5	1.582
506	1.585
506.5	1.585
507	1.581
507.5	1.578
508	1.573
508.5	1.564
509	1.559
509.5	1.555
510	1.555
510.5	1.559
511	1.569
511.5	1.574
512	1.575
512.5	1.576
513	1.573
513.5	1.566
514	1.558
514.5	1.553
515	1.554
515.5	1.556
516	1.557
516.5	1.555
517	1.556
517.5	1.559
518	1.556
518.5	1.553
519	1.55
519.5	1.545
520	1.547
520.5	1.549
521	1.549
521.5	1.547
522	1.548
522.5	1.549
523	1.546
523.5	1.542
524	1.54
524.5	1.538
525	1.538
525.5	1.536
526	1.536
526.5	1.533
527	1.533
527.5	1.531
528	1.524
528.5	1.52
529	1.519
529.5	1.522
530	1.522
530.5	1.523
531	1.525
531.5	1.525
532	1.525
532.5	1.521
533	1.516
533.5	1.512
534	1.51
534.5	1.51
535	1.51
535.5	1.512
536	1.512
536.5	1.513
537	1.514
537.5	1.51
538	1.508
538.5	1.503
539	1.498
539.5	1.493
540	1.489
540.5	1.49
541	1.49
541.5	1.49
542	1.492
542.5	1.492
543	1.492
543.5	1.49
544	1.488
544.5	1.482
545	1.482
545.5	1.482
546	1.481
546.5	1.475
547	1.47
547.5	1.468
548	1.469
548.5	1.464
549	1.46
549.5	1.46
550	1.46
550.5	1.461
551	1.462
551.5	1.458
552	1.452
552.5	1.452
553	1.447
553.5	1.437
554	1.434
554.5	1.432
555	1.435
555.5	1.435
556	1.438
556.5	1.438
557	1.437
557.5	1.439
558	1.44
558.5	1.442
559	1.448
559.5	1.448
560	1.451
560.5	1.446
561	1.447
561.5	1.442
562	1.44
562.5	1.437
563	1.436
563.5	1.432
564	1.43
564.5	1.426
565	1.427
565.5	1.425
566	1.426
566.5	1.427
567	1.428
567.5	1.425
568	1.422
568.5	1.419
569	1.417
569.5	1.416
570	1.418
570.5	1.415
571	1.415
571.5	1.419
572	1.42
572.5	1.419
573	1.42
573.5	1.425
574	1.424
574.5	1.421
575	1.419
575.5	1.413
576	1.409
576.5	1.411
577	1.413
577.5	1.412
578	1.411
578.5	1.411
579	1.408
579.5	1.407
580	1.407
580.5	1.408
581	1.408
581.5	1.408
582	1.41
582.5	1.408
583	1.405
583.5	1.405
584	1.408
584.5	1.408
585	1.407
585.5	1.403
586	1.397
586.5	1.39
587	1.387
587.5	1.386
588	1.386
588.5	1.391
589	1.397
589.5	1.399
590	1.402
590.5	1.405
591	1.406
591.5	1.408
592	1.407
592.5	1.408
593	1.406
593.5	1.403
594	1.399
594.5	1.397
595	1.402
595.5	1.403
596	1.404
596.5	1.406
597	1.405
597.5	1.402
598	1.4
598.5	1.397
599	1.398
599.5	1.397
600	1.4
600.5	1.399
601	1.399
601.5	1.402
602	1.403
602.5	1.401
603	1.391
603.5	1.388
604	1.388
604.5	1.388
605	1.389
605.5	1.392
606	1.398
606.5	1.404
607	1.412
607.5	1.412
608	1.408
608.5	1.407
609	1.409
609.5	1.41
610	1.409
610.5	1.409
611	1.411
611.5	1.409
612	1.409
612.5	1.411
613	1.412
613.5	1.411
614	1.409
614.5	1.409
615	1.409
615.5	1.411
616	1.411
616.5	1.41
617	1.411
617.5	1.416
618	1.42
618.5	1.423
619	1.424
619.5	1.424
620	1.425
620.5	1.422
621	1.419
621.5	1.419
622	1.419
622.5	1.423
623	1.425
623.5	1.426
624	1.424
624.5	1.417
625	1.415
625.5	1.411
626	1.412
626.5	1.417
627	1.417
627.5	1.424
628	1.426
628.5	1.425
629	1.426
629.5	1.427
630	1.432
630.5	1.439
631	1.44
631.5	1.443
632	1.444
632.5	1.442
633	1.437
633.5	1.428
634	1.422
634.5	1.418
635	1.417
635.5	1.42
636	1.421
636.5	1.42
637	1.427
637.5	1.428
638	1.427
638.5	1.427
639	1.424
639.5	1.425
640	1.427
640.5	1.426
641	1.427
641.5	1.424
642	1.42
642.5	1.417
643	1.414
643.5	1.411
644	1.41
644.5	1.413
645	1.415
645.5	1.412
646	1.414
646.5	1.411
647	1.41
647.5	1.406
648	1.407
648.5	1.41
649	1.413
649.5	1.408
650	1.403
650.5	1.399
651	1.394
651.5	1.385
652	1.384
652.5	1.381
653	1.383
653.5	1.39
654	1.389
654.5	1.381
655	1.385
655.5	1.385
656	1.389
656.5	1.383
657	1.388
657.5	1.391
658	1.394
658.5	1.394
659	1.39
659.5	1.386
660	1.387
660.5	1.385
661	1.389
661.5	1.387
662	1.384
662.5	1.386
663	1.384
663.5	1.378
664	1.371
664.5	1.37
665	1.369
665.5	1.37
666	1.378
666.5	1.383
667	1.383
667.5	1.387
668	1.387
668.5	1.387
669	1.394
669.5	1.404
670	1.406
670.5	1.41
671	1.413
671.5	1.413
672	1.41
672.5	1.41
673	1.409
673.5	1.404
674	1.406
674.5	1.409
675	1.406
675.5	1.406
676	1.403
676.5	1.406
677	1.409
677.5	1.417
678	1.422
678.5	1.423
679	1.424
679.5	1.429
680	1.441
680.5	1.449
681	1.453
681.5	1.464
682	1.468
682.5	1.471
683	1.468
683.5	1.466
684	1.459
684.5	1.453
685	1.455
685.5	1.459
686	1.456
686.5	1.46
687	1.457
687.5	1.462
688	1.464
688.5	1.468
689	1.463
689.5	1.457
690	1.454
690.5	1.45
691	1.439
691.5	1.425
692	1.419
692.5	1.416
693	1.416
693.5	1.417
694	1.414
694.5	1.411
695	1.41
695.5	1.412
696	1.409
696.5	1.403
697	1.396
697.5	1.389
698	1.386
698.5	1.384
699	1.38
699.5	1.372
700	1.357
700.5	1.352
701	1.355
701.5	1.35
702	1.346
702.5	1.351
703	1.353
703.5	1.356
704	1.362
704.5	1.36
705	1.348
705.5	1.339
706	1.334
706.5	1.322
707	1.317
707.5	1.315
708	1.301
708.5	1.296
709	1.301
709.5	1.308
710	1.31
710.5	1.31
711	1.308
711.5	1.315
712	1.315
712.5	1.311
713	1.3
713.5	1.301
714	1.308
714.5	1.312
715	1.308
715.5	1.297
716	1.29
716.5	1.288
717	1.274
717.5	1.259
718	1.251
718.5	1.257
719	1.266
719.5	1.275
720	1.283
720.5	1.285
721	1.29
721.5	1.294
722	1.29
722.5	1.277
723	1.272
723.5	1.268
724	1.262
724.5	1.256
725	1.254
725.5	1.245
726	1.245
726.5	1.251
727	1.256
727.5	1.253
728	1.258
728.5	1.253
729	1.254
729.5	1.254
730	1.251
730.5	1.25
731	1.251
731.5	1.253
732	1.255
732.5	1.251
733	1.246
733.5	1.235
734	1.228
734.5	1.224
735	1.22
735.5	1.218
736	1.216
736.5	1.22
737	1.224
737.5	1.219
738	1.22
738.5	1.23
739	1.233
739.5	1.238
740	1.242
740.5	1.241
741	1.238
741.5	1.23
742	1.219
742.5	1.208
743	1.205
743.5	1.206
744	1.197
744.5	1.195
745	1.196
745.5	1.207
746	1.211
746.5	1.213
747	1.216
747.5	1.219
748	1.218
748.5	1.212
749	1.198
749.5	1.194
750	1.187
750.5	1.182
751	1.179
751.5	1.177
752	1.177
752.5	1.17
753	1.168
753.5	1.164
754	1.161
754.5	1.165
755	1.169
755.5	1.168
756	1.174
756.5	1.174
757	1.171
757.5	1.174
758	1.178
758.5	1.182
759	1.187
759.5	1.19
760	1.198
760.5	1.198
761	1.193
761.5	1.189
762	1.188
762.5	1.193
763	1.189
763.5	1.189
764	1.188
764.5	1.184
765	1.184
765.5	1.182
766	1.179
766.5	1.183
767	1.183
767.5	1.179
768	1.173
768.5	1.169
769	1.161
769.5	1.155
770	1.15
770.5	1.15
771	1.146
771.5	1.142
772	1.143
772.5	1.147
773	1.158
773.5	1.172
774	1.182
774.5	1.187
775	1.191
775.5	1.2
776	1.196
776.5	1.186
777	1.182
777.5	1.18
778	1.183
778.5	1.178
779	1.168
779.5	1.156
780	1.146
780.5	1.142
781	1.135
781.5	1.127
782	1.127
782.5	1.131
783	1.14
783.5	1.135
784	1.133
784.5	1.135
